section,group_type,folder,company,project,title,url,order,visible,note
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Deap Blue Sea : Under Water soundscape for Virtual Exploration | 6 Hours,https://www.youtube.com/watch?v=ZpdV9QycRNI,54,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Coastal Gorge : Natural Soundscape for Virtual Exploration | 6 Hours,https://www.youtube.com/watch?v=rgyAGxYFcZU,55,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Stormy Sea & Coastal Cliffside : Natural Soundscape for Virtual Exploration | 6 Hours,https://www.youtube.com/watch?v=1kGgg3S21zg,56,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Lava Flow : Natural Soundscape for Virtual Exploration | 6 Hours,https://www.youtube.com/watch?v=oYh3ay5CFlA,57,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Ethereal Aqua Grove : Mystical Soundscape for Meditation | 6 Hours,https://www.youtube.com/watch?v=DWFB9UomCZA,58,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Server Room : Analog Noise Environment for Sleep | 6 Hours,https://www.youtube.com/watch?v=kUSQmHSj-VU,59,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Dwarven Humming : A Song for Erebor | The Lord of the Rings | 6 Hours,https://www.youtube.com/watch?v=wo7nXaFMNjc,60,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Luxurious Hotel Lobby : Calm Noise with Piano | Game OST | 1 Hour,https://www.youtube.com/watch?v=4KUFw5eHpfw,61,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Rainy New York Streets : Urban Soundscape for Relaxation | 6 Hours,https://www.youtube.com/watch?v=25vxwwBlXbk,62,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Rainfall Outside the Hotel : Lofi Chill Beats for Relaxation | Game OST | 1 Hour,https://www.youtube.com/watch?v=me2T2j85vJU,63,TRUE,randomly selects 5 on load
